Plant Code,Plant Name,Utility Code,Utility Name,Plant Address,Plant City,Plant County,Plant State,Plant Zip,Plant Latitude,Plant Longitude,Balancing Authority Code,Balancing Authority Name,Annual Generation,Plant Initial Operation Date,Last Update,Fuel Types,Plant URL,Utility URL,Balancing Authority URL
60288,Ajax Solar,61060,Cypress Creek Renewables,Old Lowery Rd and Mcgoogan Far,Shannon,Robeson County,NC,28386,34.83091,-79.1194,DUK,Duke Energy Carolinas,3956,2017-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/ajax-solar/60288,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60290,Jester Solar,61677,Sol Systems,Millers Chapel Rd,Goldsboro,Wayne County,NC,27534,35.36118,-77.8861,DUK,Duke Energy Carolinas,9737,2020-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/jester-solar/60290,https://www.gridinfo.com/sol-systems,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60291,Trinity Solar,59503,Capital Dynamics,4058 Old Glenola Rd,Trinity,Randolph County,NC,34655,35.87025,-79.9282,DUK,Duke Energy Carolinas,8751,2019-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/trinity-solar/60291,https://www.gridinfo.com/capital-dynamics,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60298,"Pine Valley Solar Farm, LLC",64391,"Pine Valley Solar, LLC",100 Pine Valley Lane,West End,Moore County,NC,27376,35.21812,-79.529333,DUK,Duke Energy Carolinas,9356,2022-05-00,12/1/2023,Solar,https://www.gridinfo.com/plant/pine-valley-solar-farm-llc/60298,https://www.gridinfo.com/pine-valley-solar-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60312,"Howell Midland Farm, LLC",64778,"Strata Manager, LLC",14022 Bethel Avenue Exd,Midland,Cabarrus County,NC,28107,35.225669,-80.543086,DUK,Duke Energy Carolinas,8756,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/howell-midland-farm-llc/60312,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
62168,Church Road Solar LLC,61944,MN8 Energy LLC,White Memorial Church Road,Angier,Harnett County,NC,27546,35.523663,-78.625352,CPLE,Duke Energy Progress East,7060,2018-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/church-road-solar-llc/62168,https://www.gridinfo.com/mn8-energy-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
59666,Innovative Solar 47,61944,MN8 Energy LLC,2034 McGirt Road,Maxton,Robeson County,NC,28364,34.801933,-79.332447,CPLE,Duke Energy Progress East,63090,2017-04-00,10/1/2024,Solar,https://www.gridinfo.com/plant/innovative-solar-47/59666,https://www.gridinfo.com/mn8-energy-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60144,"Baltimore Church Solar, LLC",60281,"Altus Power America Management, LLC",1148 Baltimore Church Road,Fairmont,Robeson County,NC,28340,34.466688,-79.152443,DUK,Duke Energy Carolinas,5421,2017-10-00,12/1/2023,Solar,https://www.gridinfo.com/plant/baltimore-church-solar-llc/60144,https://www.gridinfo.com/altus-power-america-management-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60146,"Cohen Farm Solar, LLC",61060,Cypress Creek Renewables,2289 Brown Road,Sanford,Lee County,NC,27330,35.557224,-79.195789,DUK,Duke Energy Carolinas,9668,2016-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/cohen-farm-solar-llc/60146,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60147,"Floyd Solar, LLC",61060,Cypress Creek Renewables,5555 Stone Road,Fairmont,Robeson County,NC,28340,34.509128,-79.135875,DUK,Duke Energy Carolinas,9482,2016-07-00,12/1/2023,Solar,https://www.gridinfo.com/plant/floyd-solar-llc/60147,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60149,"Innovative Solar 43, LLC",61060,Cypress Creek Renewables,852 Brown Road,Ivanhoe,Bladen County,NC,28447,34.529956,-78.304811,CPLE,Duke Energy Progress East,65806,2016-12-00,10/1/2024,Solar,https://www.gridinfo.com/plant/innovative-solar-43-llc/60149,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60156,Shelter Solar,61677,Sol Systems,2597 Turnpike Rd,Raeford,Hoke County,NC,28376,34.983772,-79.268026,DUK,Duke Energy Carolinas,9644,2018-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/shelter-solar/60156,https://www.gridinfo.com/sol-systems,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60157,Heedeh Solar,61944,MN8 Energy LLC,487 Brinkley Rd,Delco,Columbus County,NC,28436,34.308744,-78.221475,DUK,Duke Energy Carolinas,7022,2018-07-00,12/1/2023,Solar,https://www.gridinfo.com/plant/heedeh-solar/60157,https://www.gridinfo.com/mn8-energy-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60160,Tate Solar,66041,"USF Essex Lessor, LLC",6800 Taylors Gin Rd,Castalia,Nash County,NC,27816,36.066109,-78.029612,CPLE,Duke Energy Progress East,9892,2020-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/tate-solar/60160,https://www.gridinfo.com/usf-essex-lessor-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60161,Eagle Solar,66041,"USF Essex Lessor, LLC",1391 Warren Plains Rd,Warrenton,Warren County,NC,27589,36.458327,-78.155087,CPLE,Duke Energy Progress East,7001,2020-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/eagle-solar/60161,https://www.gridinfo.com/usf-essex-lessor-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60189,Sugar Run Solar,59952,"Sugar Run Solar, LLC",1187 U.S. Highway 158 East,Sunbury,Gates County,NC,27979,36.437752,-76.597825,PJM,"PJM Interconnection, LLC",9904,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/sugar-run-solar/60189,https://www.gridinfo.com/sugar-run-solar-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60165,Robin Solar,64279,Robin Solar LLC,892 Oberry Rd,Dudley,Wayne County,NC,28333,35.264418,-78.081389,DUK,Duke Energy Carolinas,8099,2021-01-00,12/1/2023,Solar,https://www.gridinfo.com/plant/robin-solar/60165,https://www.gridinfo.com/robin-solar-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60178,Cash Solar,63768,"Cash Solar, LLC",4781 Loop Rd,Nashville,Nash County,NC,27856,36.02818,-77.923306,DUK,Duke Energy Carolinas,8253,2020-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/cash-solar/60178,https://www.gridinfo.com/cash-solar-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60179,Daystar Solar,60281,"Altus Power America Management, LLC",300 Harriett Lane,Pollocksville,Jones County,NC,28573,35.035589,-77.202453,DUK,Duke Energy Carolinas,9422,2017-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/daystar-solar/60179,https://www.gridinfo.com/altus-power-america-management-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
59665,Innovative Solar 37 LLC,58468,Dominion Renewable Energy,4146 Sneedsboro Rd,Morven,Anson County,NC,28119,34.838297,-79.943889,DUK,Duke Energy Carolinas,114695,2017-05-00,10/1/2024,Solar,https://www.gridinfo.com/plant/innovative-solar-37-llc/59665,https://www.gridinfo.com/dominion-renewable-energy,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
59663,"Cornwall Solar Center, LLC",61119,"SRE Utility Solar 1, LLC",6595 Land Fill Road,Oxford,Granville County,NC,27565,36.366944,-78.626111,CPLE,Duke Energy Progress East,5853,2016-10-00,12/1/2023,Solar,https://www.gridinfo.com/plant/cornwall-solar-center-llc/59663,https://www.gridinfo.com/sre-utility-solar-1-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60180,Kathleen Solar,61677,Sol Systems,3644 Chalybeate Springs Rd,Fuquay Varina,Wake County,NC,27526,35.513769,-78.802384,DUK,Duke Energy Carolinas,9959,2018-11-00,12/1/2023,Solar,https://www.gridinfo.com/plant/kathleen-solar/60180,https://www.gridinfo.com/sol-systems,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60181,Grove Solar,61677,Sol Systems,1100 Washington Post Road,New Bern,Craven County,NC,28560,35.16922,-77.1182,DUK,Duke Energy Carolinas,13225,2019-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/grove-solar/60181,https://www.gridinfo.com/sol-systems,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60188,Conetoe Solar,59951,"Conetoe Solar, LLC",6003 Highway 64 Alt E,Tarboro,Edgecombe County,NC,27866,35.825182,-77.457772,PJM,"PJM Interconnection, LLC",8722,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/conetoe-solar/60188,https://www.gridinfo.com/conetoe-solar-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60429,Tides Lane Farm,64778,"Strata Manager, LLC",150 Tides Lane Road,Louisburg,Franklin County,NC,27549,36.06936,-78.298796,CPLE,Duke Energy Progress East,6382,2019-10-00,12/1/2023,Solar,https://www.gridinfo.com/plant/tides-lane-farm/60429,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60402,"CB Bladen Solar, LLC",61060,Cypress Creek Renewables,1116 Braxton Edge Road,Fayetteville,Bladen County,NC,28312,34.822869,-78.624278,DUK,Duke Energy Carolinas,9621,2016-07-00,12/1/2023,Solar,https://www.gridinfo.com/plant/cb-bladen-solar-llc/60402,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60403,"Currin Solar, LLC",61060,Cypress Creek Renewables,5101 Old NC 75,Oxford,Granville County,NC,27565,36.289625,-78.633283,DUK,Duke Energy Carolinas,8038,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/currin-solar-llc/60403,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60408,"Nash 97 Solar, LLC",61060,Cypress Creek Renewables,11250 North Carolina 97,Middlesex,Nash County,NC,27557,35.84927,-78.21152,DUK,Duke Energy Carolinas,9201,2016-04-00,12/1/2023,Solar,https://www.gridinfo.com/plant/nash-97-solar-llc/60408,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60409,"South Winston Farm, LLC",61060,Cypress Creek Renewables,2270 West Clemmonsville Road,Winston-Salem,Forsyth County,NC,27127,36.0288,-80.302,DUK,Duke Energy Carolinas,9031,2016-01-00,12/1/2023,Solar,https://www.gridinfo.com/plant/south-winston-farm-llc/60409,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60415,"Hardison Farm Solar, LLC",61060,Cypress Creek Renewables,19925 Hwy 64,Williamston,Martin County,NC,27892,35.83079,-77.02194,PJM,"PJM Interconnection, LLC",10184,2016-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/hardison-farm-solar-llc/60415,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60416,"Maxton Solar, LLC",61060,Cypress Creek Renewables,425 Elrod Rd,Maxton,Robeson County,NC,28364,34.71472,-79.31463,DUK,Duke Energy Carolinas,9634,2016-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/maxton-solar-llc/60416,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60417,Modlin Solar Farm,61060,Cypress Creek Renewables,4975 Wild Cat Road,Williamston,Martin County,NC,27892,35.85028,-77.11023,PJM,"PJM Interconnection, LLC",9635,2016-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/modlin-solar-farm/60417,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60422,Morgan's Corner,58468,Dominion Renewable Energy,918 U.S. 158,Elizabeth City,Pasquotank County,NC,27909,36.421064,-76.364244,PJM,"PJM Interconnection, LLC",28304,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/morgan-s-corner/60422,https://www.gridinfo.com/dominion-renewable-energy,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60401,"Bizzell Church Solar 1, LLC",61060,Cypress Creek Renewables,1456 Bizzell Grove Church Road,Selma,Johnston County,NC,27526,35.549401,-78.179859,DUK,Duke Energy Carolinas,9280,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/bizzell-church-solar-1-llc/60401,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60438,Whitakers Farm (Fisher Rd),64778,"Strata Manager, LLC",12300 Fisher Road,Whitakers,Nash County,NC,27891,36.115542,-77.725147,PJM,"PJM Interconnection, LLC",5965,2016-07-00,12/1/2023,Solar,https://www.gridinfo.com/plant/whitakers-farm-fisher-rd/60438,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60439,Sellers Farm Solar,64778,"Strata Manager, LLC",217 Old Laurinburg Rd.,Hamlet,Richmond County,NC,28345,34.881973,-79.665351,CPLE,Duke Energy Progress East,10608,2022-05-00,12/1/2023,Solar,https://www.gridinfo.com/plant/sellers-farm-solar/60439,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60440,McGrigor Farm Solar,58508,Carolina Solar Energy LLC,1001 N US Highway 421,Clinton,Sampson County,NC,28328,35.019771,-78.350088,CPLE,Duke Energy Progress East,9728,2019-10-00,12/1/2023,Solar,https://www.gridinfo.com/plant/mcgrigor-farm-solar/60440,https://www.gridinfo.com/carolina-solar-energy-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60480,"Germantown Solar, LLC",61060,Cypress Creek Renewables,2105 Rural Hall,Rural Hall,Forsyth County,NC,27045,36.24634,-80.25463,DUK,Duke Energy Carolinas,2881,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/germantown-solar-llc/60480,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60484,"Williamston West Farm, LLC",64778,"Strata Manager, LLC",14666 US HWY 64,Williamston,Martin County,NC,27892,35.836544,-77.108044,PJM,"PJM Interconnection, LLC",4261,2016-07-00,12/1/2023,Solar,https://www.gridinfo.com/plant/williamston-west-farm-llc/60484,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
59646,FLS Solar 230 (Warren),61060,Cypress Creek Renewables,2781 N NC 11 and 903 Highway,Albertson,Duplin County,NC,28508,35.016111,-77.821944,CPLE,Duke Energy Progress East,8793,2015-05-00,12/1/2023,Solar,https://www.gridinfo.com/plant/fls-solar-230-warren/59646,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60487,"River Road Solar, LLC",65411,Duke Energy Renewables Services,951 River Road,Cofield,Hertford County,NC,27922,36.351,-76.842,PJM,"PJM Interconnection, LLC",8645,2016-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/river-road-solar-llc/60487,https://www.gridinfo.com/duke-energy-renewables-services,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60510,Two Mile Desert Project,58871,Citizens Enterprises Corporation,180 Two Mile Desert Road,Hertford,Perquimans County,NC,27944,36.22,-76.46,PJM,"PJM Interconnection, LLC",28316,2019-06-00,12/1/2023,Solar,https://www.gridinfo.com/plant/two-mile-desert-project/60510,https://www.gridinfo.com/citizens-enterprises-corporation,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60384,Hertford Solar Farm,65411,Duke Energy Renewables Services,131 Snug Harbour Rd,Hertford,Perquimans County,NC,27944,36.13026,-76.490915,PJM,"PJM Interconnection, LLC",8254,2016-01-00,12/1/2023,Solar,https://www.gridinfo.com/plant/hertford-solar-farm/60384,https://www.gridinfo.com/duke-energy-renewables-services,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60361,Wortham Solar Farm,61060,Cypress Creek Renewables,2527 US 1-158 Hwy North,Henderson,Vance County,NC,27537,36.352489,-78.376344,DUK,Duke Energy Carolinas,8906,2016-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/wortham-solar-farm/60361,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60363,"White Farm Solar, LLC",61060,Cypress Creek Renewables,2464 NC 35 Hwy,Woodland,Northampton County,NC,27897,36.34764,-77.22244,PJM,"PJM Interconnection, LLC",9754,2016-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/white-farm-solar-llc/60363,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60134,"Nashville Farms, LLC",61119,"SRE Utility Solar 1, LLC",3615 Becton Road,Nashville,Nash County,NC,27856,36.034354,-78.010611,DUK,Duke Energy Carolinas,3333,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/nashville-farms-llc/60134,https://www.gridinfo.com/sre-utility-solar-1-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60367,"Snow Camp Solar, LLC",61060,Cypress Creek Renewables,353 Clark Road,Snow Camp,Alamance County,NC,27349,35.86267,-79.42346,CPLE,Duke Energy Progress East,11053,2016-03-00,12/1/2023,Solar,https://www.gridinfo.com/plant/snow-camp-solar-llc/60367,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60369,Battleboro Farm,63026,"Oppidum Renewables USA, LLC",752 West Battleboro Ave,South Whitakers,Nash County,NC,27809,36.05864,-77.76077,PJM,"PJM Interconnection, LLC",7484,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/battleboro-farm/60369,https://www.gridinfo.com/oppidum-renewables-usa-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60370,"Flint Hill Solar, LLC",61060,Cypress Creek Renewables,12326 NC 24-27 HWY,Carthage,Moore County,NC,28327,35.40274,-79.55308,CPLE,Duke Energy Progress East,8377,2016-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/flint-hill-solar-llc/60370,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60380,"Shoe Creek Solar, LLC",61060,Cypress Creek Renewables,20882 McIntosh Road,Laurinburg,Scotland County,NC,28352,34.84492,-79.38472,CPLE,Duke Energy Progress East,128185,2017-12-00,10/1/2024,Solar,https://www.gridinfo.com/plant/shoe-creek-solar-llc/60380,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60383,Monroe Solar Facility,5416,"Duke Energy Carolinas, LLC",2920 S Rocky River Rd,Monroe,Union County,NC,28112,34.929945,-80.625615,CPLE,Duke Energy Progress East,96182,2017-03-00,10/1/2024,Solar,https://www.gridinfo.com/plant/monroe-solar-facility/60383,https://www.gridinfo.com/duke-energy-carolinas-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60359,Gastonia Solar Center,60496,"Adapture Renewables, Inc.",609 Neal Hawkins Rd,Gastonia,Gaston County,NC,28056,35.229033,-81.189078,DUK,Duke Energy Carolinas,8148,2018-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/gastonia-solar-center/60359,https://www.gridinfo.com/adapture-renewables-inc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60393,Warbler Holdings,64994,SolRiver Capital LLC,631 Plato Lee Road,Shelby,Cleveland County,NC,28150,35.318824,-81.623934,DUK,Duke Energy Carolinas,7587,2021-10-00,12/1/2023,Solar,https://www.gridinfo.com/plant/warbler-holdings/60393,https://www.gridinfo.com/solriver-capital-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60394,Tamworth Holdings,56215,"RWE Renewables Americas, LLC",US Hwy 701 and NC Hwy 201,Garland,Bladen County,NC,28441,34.745617,-78.421185,DUK,Duke Energy Carolinas,8997,2019-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/tamworth-holdings/60394,https://www.gridinfo.com/rwe-renewables-americas-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60395,MC1 Solar,60190,"MC1 Solar Farm, LLC",NC Hwy 125,Williamston,Martin County,NC,27892,35.8748,-77.1397,PJM,"PJM Interconnection, LLC",7516,2016-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/mc1-solar/60395,https://www.gridinfo.com/mc1-solar-farm-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60396,"St. Pauls Solar 1, LLC",61060,Cypress Creek Renewables,US Hwy 301 N,St. Pauls,Robeson County,NC,28384,34.7716,-78.9836,DUK,Duke Energy Carolinas,5886,2017-04-00,12/1/2023,Solar,https://www.gridinfo.com/plant/st-pauls-solar-1-llc/60396,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60397,"Kennedy Solar, LLC",61060,Cypress Creek Renewables,134 Water Tank Road,Warsaw,Duplin County,NC,28398,35.012282,-78.092185,DUK,Duke Energy Carolinas,8611,2017-04-00,12/1/2023,Solar,https://www.gridinfo.com/plant/kennedy-solar-llc/60397,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60398,Innovative Solar 65,61060,Cypress Creek Renewables,13005 X-Way Rd,Laurinburg,Scotland County,NC,28352,34.7587,-79.5,DUK,Duke Energy Carolinas,8966,2016-11-00,12/1/2023,Solar,https://www.gridinfo.com/plant/innovative-solar-65/60398,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
