"Company Name",Address,City,State,Zip,"Address Latitude","Address Longitude","Utility Owner","Utility Operator","Utility Type","Annual Generation","Min Generation Date","Max Generation Date","Power Plants","FERC Seller Min Date","FERC Seller Max Date","FERC Seller Total Transactions","FERC Seller Total Transaction Charges","FERC Buyer Min Date","FERC Buyer Max Date","FERC Buyer Total Transactions","FERC Buyer Total Transaction Charges","FERC Summary Quarter","FERC Seller Quarterly Transactions","FERC Seller Quarterly Transaction Charges","FERC Buyer Quarterly Transactions","FERC Buyer Quarterly Transaction Charges"
"H.A. Wagner LLC","600 Hamilton Street, Suite 600",Allentown,PA,18101,40.60240400,-75.46977800,Y,Y,"Independent Power Producer",131469.000000,2016-01-01,2024-08-01,1,2013-07-01,2024-10-01,195882,778289088.61,,,,,2024_q2,7920,17267980.37,,
"Lower Mount Bethel Energy LLC","600 Hamilton Street, Suite 600",Allentown,PA,18101,40.60240400,-75.46977800,N,Y,"Independent Power Producer",4365139.000000,2004-05-01,2024-10-01,1,2013-07-01,2018-12-04,294171,993331197.13,,,,,2024_q2,,,,
"TalenEnergy Martins Creek LLC","600 Hamilton Street",Allentown,PA,18101,40.60240400,-75.46977800,N,Y,"Independent Power Producer",2348139.007000,2001-01-01,2024-10-01,9,,,,,,,,,2024_q2,,,,
"TalenEnergy Montour LLC","600 Hamilton Street",Allentown,PA,18101,40.60240400,-75.46977800,Y,N,"Independent Power Producer",2594867.002000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"TalenEnergy Susquehanna LLC","600 Hamilton Street",Allentown,PA,18101,40.60240400,-75.46977800,Y,Y,"Independent Power Producer",21024128.000000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Decorative Panels International, Inc.","416 Ford AVenue",Alpena,MI,49707,45.06359800,-83.42806400,Y,N,Industrial,45664.062000,2001-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Lafarge Corp","1435 Ford Avenue",Alpena,MI,49707,45.07041000,-83.41560000,Y,N,Industrial,193027.000000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Cube District Energy, LLC","1000 Windward Concourse, Suite",Alpharetta,GA,30005,34.09590000,-84.24110900,Y,N,"Independent Power Producer",259597.205000,2017-01-01,2024-10-01,9,,,,,,,,,2024_q2,,,,
"Altamonte Mall","415 E Altamonte Dr","Altamonte Springs",FL,32701,28.66368407,-81.37906663,N,N,Commercial,1014.815000,2019-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"City of Alta - (IA)","223 Main Street",Alta,IA,51002,42.67305100,-95.30382000,Y,N,"Municipally-Owned Utility",383.660000,2001-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"INEOS USA LLC","P.O. Box 1488",Alvin,TX,77512,29.41918000,-95.24033500,Y,N,Industrial,942197.422000,2001-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"MMP SCO, LLC",FM2917,Alvin,TX,77512,29.42381000,-95.24538000,N,N,,0.000000,,,0,2016-01-01,2024-09-30,38491,788967.92,,,,,2024_q2,1538,51713.68,,
"Amana Society Service Co","P O Box 186",Amana,IA,52203,41.80053300,-91.87538200,Y,Y,"Investor-Owned Utility",1003.954000,2018-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Golden Spread Electric Cooperative, Inc","Suite 220905 South Fillmore St",Amarillo,TX,79101,35.20608493,-101.83476477,Y,N,Cooperative,4635198.343000,2011-01-01,2024-10-01,5,2013-07-01,2024-10-01,9170228,5525455579.87,2013-07-01,2024-10-01,1829,615337096.91,2024_q2,309653,108549544.92,26,7504001.16
"Golden Spread Panhandle Wind Ranch, LLC","905 S Fillmore Ste 220",Amarillo,TX,79105,35.20343400,-101.83445400,N,N,,0.000000,,,0,2013-07-01,2024-10-01,45,121421357.20,,,,,2024_q2,1,1914139.24,,
"Pantex (NNSA)","Production Office NPO-70 FM237",Amarillo,TX,79120,35.18856500,-101.81719000,N,N,"Federally-Owned Utility",20961.000000,2014-06-01,2024-09-01,1,,,,,,,,,2024_q2,,,,
"Southwestern Public Service Co","P O Box 1261SPS Tower Tyler At",Amarillo,TX,79170,35.22203002,-101.83535000,Y,Y,"Investor-Owned Utility",17035027.947000,2001-01-01,2024-10-01,16,2013-07-01,2024-10-01,74735259,11617041583.87,2013-07-01,2024-10-01,516263,2602921241.78,2024_q2,1624876,151336214.71,38,56462314.47
"City of Ames - (IA)","502 Carroll Avenue, P.O. Box 8",Ames,IA,50010,42.02657200,-93.61420200,Y,Y,"Municipally-Owned Utility",361414.375000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Iowa State University","1350 Beardshear Hall",Ames,IA,50011,42.02525400,-93.65087100,Y,N,"State-Owned Utility",91733.000000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"National Centers for Animal Health","1920 Dayton Avenue",Ames,IA,50010,42.04533100,-93.57594100,N,Y,"Federally-Owned Utility",15582.000000,2012-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Amherst College","151 College Street",Amherst,MA,1002,42.37183200,-72.51229500,N,Y,Commercial,5305.174000,2012-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"South Oak Hospital","400 Sunrise Highway",Amityville,NY,11701,40.68598400,-73.42285900,Y,N,Commercial,6909.411000,2001-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Western Farmers Elec Coop, Inc","701 N.E. 7th Street",Anadarko,OK,73005,35.08394700,-98.22824000,Y,Y,Cooperative,2115837.063000,2001-01-01,2024-10-01,10,,,,,,,,,2024_q2,,,,
"Western Farmers Electric Cooperative","701 NE 7th Street",Anadarko,OK,73005,35.08394700,-98.22824000,N,N,,0.000000,,,0,2013-07-01,2024-10-01,20283217,3187087525.05,2013-07-01,2024-10-01,6616,1739657875.83,2024_q2,782068,74764448.62,135,39440198.18
"Anaheim Public Utilities","200 S. Anaheim Blvd, Suite 801",Anaheim,CA,92805,33.83453200,-117.91270900,Y,N,"Municipally-Owned Utility",3050.587000,2014-08-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"City of Anaheim - (CA)","201 S. Anaheim Blvd, 1101",Anaheim,CA,92805,33.83457500,-117.91401800,Y,N,"Municipally-Owned Utility",91759.000000,2001-01-01,2024-10-01,2,,,,,2013-07-01,2024-10-01,29976,419168919.84,2024_q2,,,17,7298907.33
"Alaska Village Elec Coop, Inc","4831 Eagle Street",Anchorage,AK,99503,61.17697800,-149.87502900,Y,N,Cooperative,130930.525000,2001-01-01,2023-12-01,68,,,,,,,,,2024_q2,,,,
"Chugach Electric Assn Inc","5601 Electron Drive",Anchorage,AK,99519,61.16949000,-149.91271200,Y,N,Cooperative,2306578.494000,2001-01-01,2024-10-01,7,,,,,,,,,2024_q2,,,,
"City of King Cove","3380 ""C"" Street, Suite 205",Anchorage,AK,99503,61.18996000,-149.88688900,Y,N,"Municipally-Owned Utility",4846.941000,2002-12-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Fire Island Wind LLC","725 E Fireweed Lane",Anchorage,AK,99503,61.19904600,-149.86973700,Y,N,"Independent Power Producer",50272.197000,2013-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Sand Point Generating, LLC","3601 C Street Suite 1000-52",Anchorage,AK,99503,61.18744800,-149.88631200,Y,N,"Investor-Owned Utility",3642.687000,2019-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"TDX North Slope Generating Inc.","3601 C street, STE 1000",Anchorage,AK,99503,61.18744800,-149.88631200,Y,N,"Investor-Owned Utility",54266.836000,2012-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"PowerSouth Energy Cooperative","2027 E Three Notch St",Andalusia,AL,36421,31.32917800,-86.46946300,Y,N,Cooperative,5881221.967000,2001-01-01,2024-10-01,6,2013-07-03,2024-09-30,508,63747875.81,2013-07-01,2024-10-01,80679,1298497913.89,2024_q2,9,6747521.00,98,14940014.43
"Shasta Sustainable Resource Management, Inc.","20811 Industry Road",Anderson,CA,96007,40.42892700,-122.27901500,Y,Y,"Independent Power Producer",300729.000000,2021-01-01,2024-10-01,1,2021-04-01,2024-09-30,89,117135943.15,,,,,2024_q2,3,7628611.75,,
"Sierra Pacific Industries","19754 Riverside Avenue",Anderson,CA,96007,40.47010400,-122.31730900,Y,Y,Commercial,887830.331000,2001-01-01,2023-12-01,11,,,,,,,,,2024_q2,,,,
"Alta Farms II Wind Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",619529.000000,2023-04-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Aurora Wind Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",1093133.000000,2020-10-01,2024-10-01,1,2020-10-14,2024-10-01,551184,76740468.69,,,,,2024_q2,27027,2597936.11,,
"Azure Sky Solar Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",547459.380000,2021-06-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Azure Sky Wind Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",1248019.000000,2023-04-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Blue Jay Solar I, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",475005.000000,2023-06-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Boott Hydropower Inc","c/o Enel North America, Inc.On",Andover,MA,1810,42.68180903,-71.19088874,Y,Y,"Independent Power Producer",0.000000,2001-01-01,2019-12-01,0,2023-05-01,2024-09-30,45236,676008.22,,,,,2024_q2,17842,322362.61,,
"Buffalo Dunes Wind Project LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",943328.000000,2013-12-01,2024-10-01,1,2013-11-19,2024-09-30,138210,290265063.72,,,,,2024_q2,1401,6652726.03,,
"Canastota Windpower, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2013-07-01,2024-10-01,367298,20673737.89,,,,,2024_q2,21157,368623.85,,
"Caney River Wind Project","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",767595.000000,2011-11-01,2024-10-01,1,2013-07-01,2024-09-30,77,475767609.85,,,,,2024_q2,3,10987365.41,,
"CHI Energy, Inc.","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",80318.110000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"CHI Operations Inc","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",71197.988000,2001-01-01,2023-12-01,15,,,,,,,,,2024_q2,,,,
"Chisholm View Wind Project","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",1060985.000000,2012-12-01,2024-10-01,1,2013-07-01,2024-09-30,191062,273555894.20,,,,,2024_q2,23617,5094202.32,,
"Chisholm View Wind Project II, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2017-04-01,2024-09-30,83,37031779.26,,,,,2024_q2,4,1397264.63,,
"Cimarron Bend Wind Project I, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",931612.000000,2016-12-01,2024-10-01,1,2017-04-01,2024-09-30,31,156027609.47,,,,,2024_q2,1,5955276.20,,
"Cimarron Bend Wind Project II, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",887984.000000,2017-03-01,2024-10-01,1,2017-04-01,2024-09-30,68,129872336.66,,,,,2024_q2,3,4696846.53,,
"Cimarron Bend Wind Project III, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2020-11-13,2024-10-01,413317,54500987.90,,,,,2024_q2,27735,1537202.36,,
"Drift Sand Wind Project, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2016-10-01,2024-09-30,75,80889990.56,,,,,2024_q2,4,2471565.52,,
"EGP Stillwater Solar PV II, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",33425.426000,2018-06-01,2023-12-01,1,2018-04-01,2024-03-31,28,3288540.65,,,,,2024_q2,,,,
"Enel Cove Fort LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",170321.611000,2002-01-01,2023-12-01,2,2013-10-01,2024-03-31,45,140452335.29,2014-03-07,2016-03-25,880,2142112.07,2024_q2,,,,
"Enel Green Power Diamond Vista Wind Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",1073674.000000,2019-01-01,2024-10-01,1,2018-10-01,2024-10-01,581565,86899949.09,,,,,2024_q2,27496,2703574.72,,
"Enel Green Power Hilltopper Wind, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2018-11-01,2024-10-01,585786,103226612.73,,,,,2024_q2,24901,3315997.98,,
"Enel Green Power NA, Inc.","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",6211470.118000,2012-01-01,2024-10-01,28,,,,,,,,,2024_q2,,,,
"Enel Green Power Rattlesnake Creek Wind Project, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2018-11-22,2024-10-01,586487,75387195.01,,,,,2024_q2,28409,590497.86,,
"Enel Green Power Roseland Solar, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",1005816.000000,2023-07-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Enel Kansas, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",600500.000000,2020-11-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Enel Stillwater LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,N,"Independent Power Producer",135256.693000,2001-01-01,2023-12-01,1,2013-07-01,2024-03-31,47,88411979.43,,,,,2024_q2,,,,
"Enel Trading North America, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2018-01-01,2024-06-30,89771,397379606.46,2020-08-13,2021-02-17,3,628200.00,2024_q2,1,4599504.00,,
"Fence Post Solar Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",99239.000000,2024-09-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Goodwell Wind Project, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2016-01-01,2024-10-01,81484,148172151.78,,,,,2024_q2,27417,4359269.57,,
"High Lonesome Wind Power, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",1331469.000000,2020-09-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Hilltopper Wind Project, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",597186.000000,2019-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Lily Solar, LLC","100 Brickstone Square, Suite 3",Andover,MA,1810,42.67420300,-71.14553700,Y,Y,"Independent Power Producer",343975.000000,2021-06-01,2024-10-01,1,2020-01-28,2020-02-27,2,234699.28,,,,,2024_q2,,,,
"Lindahl Wind Project, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2017-04-01,2024-09-30,88,104512107.59,,,,,2024_q2,10,4024538.96,,
"Little Elk Wind Project, LLC","100 Brickstone Square, Ste 300",Andover,MA,01810,42.67420300,-71.14553700,N,N,,0.000000,,,0,2016-01-01,2024-09-30,10065,71326359.94,,,,,2024_q2,4,2595152.40,,
